longitude,latitude,type,name,abbrev,location,gps_code
-111.35668472784,47.482270729263,mid,Great Falls Int'l,GTF,terminal,KGTF
37.47380325219,36.9453633446875,major,Gaziantep Oğuzeli Int'l,GZT,terminal,LTAJ
75.0863155680281,15.3591833386229,mid,Hubli,HBX,terminal,VAHB
100.393751274671,6.93634231940664,mid,Hat Yai Int'l,HDY,terminal,VTSS
117.304197015888,31.7798576795778,mid,Hefei-Luogang,HFE,ramp,ZSOF
33.8071606414118,27.1804260918186,major,Hurghada Int'l,HRG,terminal,HEGN
36.2822010773503,49.9215360631551,major,Kharkov Int'l,HRK,ramp,UKHH
-86.7749430563373,34.6483344609319,major,Huntsville Int'l,HSV,terminal,KHSV
3.9738133433229,7.36034397269393,mid,Ibadan,IBA,ramp,DNIB
-97.4287387683976,37.6529279603903,major,Kansas City Int'l,ICT,terminal,KICT
-77.9103756560469,34.2667840671996,mid,Wilmington Int'l,ILM,terminal,KILM
4.49484038819934,8.43537651935241,mid,Ilorin Int'l,ILR,terminal,DNIL
-93.3980027552794,48.5659930848414,mid,Falls Int'l,INL,terminal,KINL
-4.06359175587141,57.5395002923424,mid,Inverness,INV,terminal,EGPE
-115.57199556658,32.8339586685524,mid,Imperial Cty.,IPL,terminal,KIPL
74.8423077638915,32.6810428886225,mid,Jammu,IXJ,terminal,VIJU
78.0911394937194,9.83718627877566,mid,Madurai,IXM,terminal,VOMD
73.0505491895671,26.2637623458351,major and military,Jodhpur,JDH,terminal,VIJO
80.0587438885277,23.1845328746465,mid,Jabalpur,JLR,terminal,VAJB
37.0651896067748,-3.42444495998178,mid,Kilimanjaro Int'l,JRO,terminal,HTKJ
7.32525347407434,10.6946192862391,mid,Kaduna,KAD,terminal,DNKA
22.4783332482689,-5.90016656227041,mid,Kananga,KGA,terminal,FZUA
-1.59257526582361,6.71460638750365,mid,Kumasi,KMS,terminal,DGSI
-71.4806025354969,-32.948391765136,mid,Viña del Mar,KNA,ramp,SCVM
80.4144703692462,26.4041682440251,mid,Kanpur,KNU,terminal,VIKA
-156.040889471058,19.7370991399442,mid,Kona Int'l at Keahole,KOA,terminal,PHKO
-2.90137849524508,58.9544288788303,mid,Kirkwall,KOI,ramp,EGPA
75.8504977944552,25.1634187166743,mid,Kota,KTU,terminal,VIKO
32.5756732669687,37.9839945531695,major and military,Konya,KYA,terminal,LTAN
-84.5982681918786,38.0374273181372,major,Blue Grass,LEX,terminal,KLEX
-159.349084290522,21.9781243162088,mid,Lihue,LIH,terminal,PHLI
-92.2205881319289,34.7284300415179,major,Clinton National,LIT,terminal,KLIT
-109.082694645261,25.688508826099,mid,Los Mochis,LMM,ramp,MMLM
-101.464960031751,26.9553927160699,mid,Venustiano Carranza Int'l,LOV,runway,MMMV
-99.4556603976513,27.5436657175825,mid,Laredo Int'l,LRD,terminal,KLRD
-1.28806068838754,59.8766899598999,mid,Sumburgh,LSI,runway,EGPB
35.9442407096663,35.4073114596744,major,Bassel Al-Assad Int'l,LTK,terminal,OSLK
-0.376227267397439,51.8802952570969,major,London Luton,LTN,terminal,EGGW
15.495229,78.246717,mid,Svalbard Longyear,LYR,terminal,ENSB
-77.9183907635752,18.5011549298249,mid,Sangster Int'l,MBJ,runway,MKJS
95.9706535950217,21.7055490680274,mid,Mandalay Int'l,MDL,terminal,VYMD
-87.7421266885612,41.7883492597409,major,Chicago Midway Int'l,MDW,terminal,KMDW
-80.6833845995774,-0.949557002112883,mid and military,Eloy Alfaro Int'l,MEC,runway,SEMT
-86.3903074602686,32.3045879909631,major,Montgomery Reg.,MGM,terminal,KMGM
-71.4375239091857,42.9279139945886,major,Manchester-Boston Reg.,MHT,terminal,KMHT
13.0851390162471,11.8534713188527,mid,Maiduguri Int'l,DNMA,terminal,DNMA
23.5721091989052,-6.12484541348811,mid,Mbuji Mayi,MJM,terminal,FZWA
-101.2913855313,48.2556049212839,mid,Minot Int'l,MOT,terminal,KMOT
-114.083694923651,46.9187604768831,mid,Missoula Int'l,MSO,terminal,KMSO
-115.247874047841,32.6285643324607,mid,Gen R.S. Taboada Int'l,MXL,terminal,MMML
8.71295953502437,45.6274405140381,major,Malpensa,MXP,terminal,LIMC
167.943394116205,-29.0351592555275,mid,Norfolk Island,NLK,terminal,YSNF
11.0774179739096,49.4945052170345,major,Nurnberg,NUE,terminal,EDDN
30.6768308310206,46.4406268759106,major,Odessa Int'l,ODS,terminal,UKOO
153.512876264303,-28.1665168540202,mid,Gold Coast,OOL,terminal,YBCG
-0.60679696443112,35.6202747312734,mid,Oran Es Senia,ORN,terminal,DAOO
85.0909021314663,25.5944434295605,mid,Lok Nayak Jaiprakash,PAT,terminal,VEPT
-58.0685346825257,-32.3614545292723,mid,Paysandu,PDU,terminal,SUPU
32.4832322064926,34.7134012817335,major,Paphos Int'l,PFO,ramp,LCPH
104.699128326762,-2.89999345005997,mid,Sultan Mahmud Badaruddin II,PLM,terminal,WIPP
29.4533403645644,-23.858986270166,mid,Polokwane Int'l,PTG,terminal,FAPP
-68.3632351074649,18.563039033987,mid,Punta Cana,PUJ,terminal,MDPC
-100.18735943003,20.622466071278,mid,Queretaro Int'l,QRO,terminal,MMQT
70.7799548311565,22.3092816988361,mid,Rajkot,RAJ,runway,VARK
-77.333119638113,37.5082899750901,major,Richmond Int'l,RIC,terminal,KRIC
88.6138045704431,24.4448068623035,mid,Shah Makhdum,RJH,terminal,VGRJ
-77.6652445062197,43.1275519826482,major,Greater Rochester Int'l,ROC,terminal,KROC
150.478897,-23.378599,mid,Rockhampton,ROK,terminal,YBRK
39.8035144445391,47.2551119519754,mid,Rostov-on-Don,ROV,terminal,URRR
46.035023249891,51.5606456508842,mid,Saratov,RTW,ramp,UWSS
-87.9272365125409,15.4558630524883,mid,Ramón Villeda Morales Int'l,SAP,terminal,MHLM
-119.8366015808,34.4257312978783,mid,Santa Barbara Muni.,SBA,terminal,KSBA
-148.457855,70.19751,mid,Deadhorse,SCC,ramp,PASC
-50.694199,67.018097,mid,Kangerlussuaq,SFJ,ramp,BGSF
-93.3826379012003,37.2421444903024,major,Springfield Reg.,SGF,terminal,KSGF
-93.8285222229503,32.4545798866513,major,Shreveport Reg.,SHV,terminal,KSHV
33.9960529244537,45.0202173978165,major,Simferopol Int'l,SIP,ramp,UKFF
-135.365692,57.05349,mid,Sitka Rocky Gutierrez,SIT,terminal,PASI
-109.717858386909,23.1626574483597,major,Los Cabos Int'l,SJD,terminal,MMSD
-123.007871479404,44.9105138452142,major,McNary Field,SLE,terminal,KSLE
-100.932260548587,25.5479976419974,mid,Plan de Guadalupe,SLW,ramp,MMIO
-8.92242885557686,52.6934537102532,major,Shannon,SNN,terminal,EINN
167.220894919375,-15.5055387370858,mid,Santo Pekoa Int'l,SON,runway,NVSS
110.378556255666,-6.97873484956982,mid,Achmad Yani,SRG,terminal,WARS
74.7826243672311,33.9830909431623,military mid,Srinagar,SXR,ramp,VISR
-92.370003,14.7911281338773,mid,Tapachula Int'l,TAP,ramp,MMTP
19.2466868618873,42.3679335195428,major,Podgorica,TGD,terminal,LYPG
-84.3449953984858,30.3955576176938,major,Tallahassee Reg.,TLH,terminal,KTLH
7.64416230362133,45.1916600734642,major,Turin Int'l,TRN,terminal,LIMF
112.625891539315,37.7545117791512,major,Taiyuan Wusu Int'l,TYN,terminal,ZBYN
-45.4164008923108,61.1625968337328,mid,Narsarsuaq,UAK,ramp,BGBW
101.00020929048,12.6852930912664,military mid,U-Tapao,UTP,ramp,VTBU
25.8467677208826,-18.0990155983682,mid,Victoria Falls,VFA,runway,FVFA
80.7973080000675,16.528642778235,mid,Vijaywada,VGA,ramp,VOBZ
82.8538741913527,25.4499077329822,mid,Varanasi,VNS,terminal,VIBN
-81.4367103850623,23.0395422339631,major,Juan Gualberto Gomez,VRA,terminal,MUVR
-92.8190675836262,17.9930660113111,mid,Villahermosa,VSA,terminal,MMVA
-99.9458959002463,49.9047279410277,mid,Brandon,YBR,terminal,CYBR
-113.478839054497,53.6749156618668,military major,CFB Edmonton,YED,ramp,CYED
-68.5367292441812,63.7511523537807,mid,Iqaluit,YFB,terminal,CYFB
-79.9264230959967,43.1633605305096,mid,John C. Munro Hamilton Int'l,YHM,terminal,CYHM
-111.223840046617,56.6563171390962,mid,Fort McMurray,YMM,terminal,CYMM
121.372047417773,37.4077044726924,major and military,Yantai,YNT,terminal,ZSYT
-117.443663208082,56.231924036745,mid,Peace River,YPE,terminal,CYPE
-64.6886696807361,46.1162059639259,mid,Greater Moncton Int'l,YQM,terminal,CYQM
-60.0469372117026,46.1673405890504,mid,Sydney/J.A. Douglas McCurdy,YQY,terminal,CYQY
-94.9708023244006,74.7181860987594,mid,Resolute Bay,YRB,runway,CYRB
-111.961059938158,60.0198749602443,mid,Fort Smith,YSM,runway,CYSM
-97.860733,55.797482,mid,Thompson,YTH,ramp,CYTH
-81.372047,48.566158,mid,Timmins,YTS,ramp,CYTS
-86.25,66.533302,mid,Repulse Bay,YUT,approximate,CYUT
-68.433342,58.101959,mid,Kuujjuaq,YVP,approximate,CYVP
-66.873009,52.926071,mid,Wabush,YWK,ramp,CYWK
-113.522973688581,53.5709436582812,mid,Edmonton City Centre,YXD,terminal,CYXD
-120.736439,56.246035,mid,Fort St. John (N. Peace),YXJ,approximate,CYXJ
-79.42491,46.358711,mid,North Bay/Jack Garland,YYB,approximate,CYYB
7.68726764310577,11.1352958601071,mid,Zaria,ZAR,ramp,DNZA
21.6281971858229,41.9564546081544,mid,Skopje,SKP,terminal,LWSK
86.974546776573,23.6312179107764,mid,Burnpur,VE23,runway,VE23
77.3507888779117,28.7077968601071,mid,Hindon Air Force Station,VIDX,runway,VIDX
125.890825057486,39.4119659710565,major,Sunchon,,runway,
19.4032148744037,51.72720704517,mid,Łódź Władysław Reymont,EPLL,terminal,EPLL
76.8782640096648,43.3554190837919,mid and military,Alma Ata N.W.,BXJ,ramp,UAAR
130.456204704407,46.8430150223379,mid,Jiamusi Dongjiao,JMU,ramp,ZYJM
129.58015153222,44.5342936299935,major,Mudanjiang Hailang,MDG,ramp,ZYMD
33.2903527616285,69.0168711826804,military major,Severomorsk-3 (Murmansk N.E.),ULMM,runway,ULMM
43.145802,36.308601,mid,Mosul Int'l,OSB,runway,ORBM
39.6353996343665,47.2774209202867,military mid,Rostov N.,,runway,
39.7972215345149,47.1158577255835,mid,Rostov S.W.,,runway,
25.3728374704307,64.9287992358849,mid,Oulu,OUL,terminal,EFOU
-0.701793449075243,44.8321108662674,major,Bordeaux,BOD,terminal,LFBD
6.95431612028937,43.546097987045,mid,Mandelieu,CEQ,terminal,LFMD
0.158653528230218,49.3616609986609,mid,St Gatien,DOL,ramp,LFRG
3.10596499799813,50.5716423929581,mid,Lille-Lesquin,LIL,terminal,LFQQ
1.37350918551153,43.6304625661601,major,Toulouse-Blagnac,TLS,terminal,LFBO
130.444189541884,33.5848164332573,major,Fukuoka,FUK,terminal,RJFF
132.419372741681,34.3713815628829,mid,Hiroshima-Nishi,HIW,terminal,RJBH
136.91962838414,35.2540532052867,mid,Nagoya,NKM,terminal,RJNA
140.930247381369,38.1382075615287,mid,Sendai,SDJ,terminal,RJSS
29.8913489500406,69.7238318113692,mid,Kirkenes Hoybuktmoen,KKN,terminal,ENKR
-56.1201774754724,-15.6511470191955,mid,Marechal Rondon Int'l,CGB,terminal,SBCY
-48.5448122049599,-27.6646276941638,major,Hercilio Luz Int'l,FLN,terminal,SBFL
-48.8016498165616,-26.2242941374785,mid,Joinville-Lauro C. de Loyola,JOI,terminal,SBJV
-34.9488925911125,-7.14617462402047,mid,Presidente Castro Pinto Int'l,JPA,terminal,SBJP
-35.2488410165389,-5.89912054477116,major,Augusto Severo Int'l,NAT,terminal,SJJQ
-8.67127240719647,41.2368708920452,major,Francisco Sa Carneiro,OPO,terminal,LPPR
-44.2362344700492,-2.58350921043018,mid,Marechal Cunha Machado Int'l,SLZ,terminal,SBSL
-46.3052704931003,-23.9237590410637,military mid,Santos Air Force Base,SSZ,ramp,SBST
-42.8212402317845,-5.06346299167191,mid,Teresina-Senador Petronio Portella,THE,terminal,SBTE
-47.1410791911014,-23.0096239085339,mid,Viracopos-Campinas Int'l,VCP,terminal,SBKP
-40.2885368759913,-20.2574162759418,mid,Eurico de Aguiar Salles,VIX,ramp,SBVT
-0.557230440363588,38.2866408993929,major,Alicante,ALC,terminal,LEAL
-2.3716014405912,36.8477672709643,mid,Almeria,LEI,terminal,LEAM
-0.473474930771676,39.4914597884489,mid,Valencia,VLC,terminal,LEVC
20.3351522954898,67.8256066056432,mid,Kiruna_Airport,KRN,terminal,ESNQ
16.2339407695814,58.5833805017541,major,Norrköping Airport,NRK,terminal,ESSP
107.575611852209,-6.90042408353409,mid,Husein Sastranegara Int'l,BDO,runway,WICC
-60.7800787216586,-32.9162269743812,mid,Rosario – Islas Malvinas Int'l,ROS,terminal,SAAR
-35.7924951215833,-9.51494118540116,mid,Maceio/Zumbi dos Palmares Int'l,MCZ,terminal,SBMO
34.3901189267288,27.9804044199168,mid,Sharm el-Sheikh Int'l,SSH,ramp,HESH
34.7758378996779,29.5944990568019,mid,Taba Int'l,TCP,terminal,HETB
77.960909176509,27.15772773475,major and military,Agra,AGR,runway,VIAG
73.2262889533239,22.3361640021171,mid,Vadodara,BDQ,runway,VABO
47.1565835165639,34.3464167739108,mid,Shahid Ashrafi Esfahani,KSH,runway,OICC
20.2680398018516,32.0872774606553,mid,Benina Int'l,BEN,ramp,HLLB
50.1477245727844,26.2703680854768,military major,King Abdulaziz AB,DHA,ramp,OEDR
-57.9840821176492,-31.4373883387798,mid,Nueva Hespérides Int'l,STY,runway,SUSO
63.307354423875,45.9635739403124,spaceport,Baikonur Cosmodrome,BAIK,approximate,
-80.6369680911892,28.5163704772027,spaceport,Kennedy Space Center,KSC,approximate,
-52.7684296893452,5.23941001258035,spaceport,Centre Spatial Guyanais,CSG,terminal,
-70.0076228563496,12.5034643630297,mid,Queen Beatrix Int'l,AUA,terminal,TNCA
43.1497127859956,11.5521018230172,mid,Djibouti-Ambouli Int'l,JIB,terminal,HDAM
-70.178635395533,-20.5478400878309,mid and military,Diego Aracena Int'l,IQQ,terminal,SCDA
29.3095991423889,40.9043003553957,major,Sabiha Gökçen Havaalani,SAW,terminal,LTFJ
162.957041225076,5.3520098571828,mid,Kosrae Island,KSA,ramp,PTSA
179.19544202302,-8.52485415059424,mid,Funafuti Int'l,FUN,ramp,NGFU
79.0537976421986,21.0899317630087,mid,Dr. Babasaheb Ambedkar Int'l,NAG,terminal,VANP
98.3060384900559,8.10768475952735,mid,Phuket Int'l,HKT,terminal,VTSP
177.451151198059,-17.7529129479792,mid,Nadi Int'l,NAN,terminal,NFFN
-102.314093740058,21.7013390329207,mid,Lic. Jesús Terán Peredo Int'l,AGU,terminal,MMAS
8.12314535436409,44.0458773598158,mid,Albenga,ALL,ramp,LIMG
35.989707162193,31.7226621600432,major,Queen Alia Int'l,AMM,terminal,OJAI
